id,last_bus_stop_time_visit,pt
1,,0101000020E610000086E464E256DE51409077FD3850934940
2,,0101000020E6100000ADDBA0F65BDE5140C69CB17966934940
3,,0101000020E610000040344E9E0DDE51408C67D0D03F934940
4,,0101000020E61000007616629A0EDE51400A3B7B1D27934940
5,,0101000020E610000032384A5E1DDE51404792205C01934940
6,,0101000020E6100000A88E554A4FDE514036C24769DB934940
7,,0101000020E6100000F78370BB86DE514051210D5D3F944940
8,,0101000020E610000027C1768B1BD95140F1D58EE21C994940
9,,0101000020E61000000A8D165660D95140788F7DDAF2984940
10,,0101000020E61000009400906E5FDC5140F88667AE78934940
11,,0101000020E610000003BBF5F557DC51409F4EC3013E944940
12,,0101000020E61000003FD873E327E55140F6F9DE9513924940
13,,0101000020E6100000EA1E7EA3C2E45140D174763238924940
14,,0101000020E610000084DCA05115E45140C4B6A05280924940
15,,0101000020E610000036BD7ACB8BE45140E860A2E650924940
16,,0101000020E6100000CBED0335A1DE5140CE62731FCA934940
17,,0101000020E61000001FBDE13E72E35140A14F3F0345934940
18,,0101000020E610000061A417B5FBE35140B3B9C55796924940
19,,0101000020E61000006120634994E45140AD03D660D0934940
20,,0101000020E6100000F351EBA20DE4514073EA14F593934940
21,,0101000020E6100000FD4003FB79E35140A1DC11A9C4924940
22,,0101000020E6100000264A8CAF07DF514018192EBCDC934940
23,,0101000020E6100000872E4DB626DF5140CBC80F4BB9934940
24,,0101000020E61000003C82C06FE8DB514024C67C8A2D944940
25,,0101000020E6100000EE5234200CDC514085EF58C74C944940
26,,0101000020E610000057B3CEF83EDA51402D12C946D6964940
27,,0101000020E610000040AEC387C8D75140F6AADF96D9994940
28,,0101000020E610000020DBE85292D75140B64F221D79994940
29,,0101000020E61000001B4EF45462D75140C7DD7B139E994940
30,,0101000020E6100000C451031775D75140906802452C994940
31,,0101000020E610000079E57ADBCCD9514059EC40E77F8B4940
32,,0101000020E61000005729988CBED9514036C2ECAF688B4940
33,,0101000020E6100000A6BD1CD198DD51409DCE5F329F834940
34,,0101000020E6100000C119FCFD62DA51404548DDCEBE874940
35,,0101000020E610000076638BEEEADA5140CECDED1461924940
36,,0101000020E610000014048F6FEFDA51403BD3951980924940
37,,0101000020E6100000D20EC9DA70DC5140268BFB8F4C934940
38,,0101000020E6100000EDDFAB0C19DB5140F8E52730F88F4940
39,,0101000020E6100000627BD22ECBDA51405B536A40CE924940
40,,0101000020E6100000C9CFA1670ED8514083EB408CC6924940
41,,0101000020E6100000C6CAC39D66DB514077ECB13E2F954940
42,,0101000020E61000003607639F5BDB51407B1CBC653D954940
43,,0101000020E610000013C6600FB7DB51402B9BDE6A42954940
44,,0101000020E61000004A99D4D006DC5140C31CF3F054954940
45,,0101000020E6100000F16A14ED05DC514024DEF0715C954940
46,,0101000020E610000057900B7327DC5140B76FFFDB76954940
47,,0101000020E6100000C190D5AD1EDC51406A3A96D28E954940
48,,0101000020E61000009EB70C9304DC51405EC42DD5BB954940
49,,0101000020E6100000CCEB884336DE5140BA98B047F2934940
50,,0101000020E6100000950C00555CDB5140D31D7A41FA954940
51,,0101000020E61000004E34FE3339DB51406D872B0C36964940
52,,0101000020E610000054DC5D0C0ADC5140C38E102F99904940
53,,0101000020E610000067E77E98CEDB5140E2B034F0A3904940
54,,0101000020E610000097416B34EFDA514011120E620C984940
55,,0101000020E61000002C4C3A257BDA5140D6879A8D3A984940
56,,0101000020E6100000E175A2C96ADA514032699D02AA874940
57,,0101000020E6100000DDFCD016A1DA51403C2C79E173884940
58,,0101000020E610000058F844E8B1DA51406EB257699C884940
59,,0101000020E6100000DCBA9BA7BADA514034BF9A0304894940
60,,0101000020E6100000339875B5CBDA51400DB8F8252C894940
61,,0101000020E6100000BDBBDFB2D4DA5140C0875CBA93894940
62,,0101000020E610000025BF8FB4E5DA5140D5986B2CBC894940
63,,0101000020E6100000D113854CE8DA5140B33ADE89FE894940
64,,0101000020E61000004694F6065FDA5140FDF49F353F8F4940
65,,0101000020E61000006FBC3B3256DA5140E51E5C4B128F4940
66,,0101000020E6100000D174763238DA514033349E08E28D4940
67,,0101000020E61000003B6F63B323DA5140FF0B5FBAA48D4940
68,,0101000020E6100000013DC38A09DA5140BBF7CB82E48C4940
69,,0101000020E6100000945D7A4501DA5140A506E45CD48C4940
70,,0101000020E6100000052C5ED1D2D95140F9043F60D48B4940
71,,0101000020E610000068B7F182E3D95140AAA74533058C4940
72,,0101000020E6100000027C5CC070D951406AC18BBE82894940
73,,0101000020E6100000D8B1B6CE64D95140C47CD4BA68894940
74,,0101000020E610000087E354C69AD95140B39AAE27BA884940
75,,0101000020E6100000BE816ED4AFD95140FD35B45C91884940
76,,0101000020E6100000A4294C29F9DA514009EFBC9EF9864940
77,,0101000020E6100000ABBEA9FEF7DA51408641F4FF05874940
78,,0101000020E610000052746E249ADB5140982721A2E2854940
79,,0101000020E6100000CBB9145795DB5140BDB90908F7854940
80,,0101000020E6100000B7C6B13F9ADB5140610ECC1B71854940
81,,0101000020E61000001249997997DB514094298B6775854940
82,,0101000020E6100000988922A46EDA514072BD12EDCF8F4940
83,,0101000020E6100000E57915BE63DA514056ECD401B58F4940
84,,0101000020E6100000822E2B5E76DA514064F492B53C904940
85,,0101000020E61000004FE559EE71DA5140924A671657904940
86,,0101000020E6100000616C21C8C1DA51406583F178FF904940
87,,0101000020E61000004CD2EB05D5DA5140DE46B9EAF0904940
88,,0101000020E61000004F5DF92C4FDB5140F2666897CA904940
89,,0101000020E6100000BD7B366131DB514023939DC8DD904940
90,,0101000020E610000080AAC07F29DC5140FACD69BBAE904940
91,,0101000020E6100000B2F8A81A18DC5140970D219D70934940
92,,0101000020E6100000736EC9607BDB514019EDA7B51F944940
93,,0101000020E61000004739984D80DB5140FA91C77839944940
94,,0101000020E6100000D40330AF6DDB514009DBF40C86944940
95,,0101000020E61000005CF80B876FDB5140DB807456B0944940
96,,0101000020E610000024F5F9835CDB5140026ECCA1FB944940
97,,0101000020E61000007F2F85074DDB51407CF8E8C369954940
98,,0101000020E6100000F3BB9F0903DB514037418AF0E5954940
99,,0101000020E61000006DFE04BCF1DA5140D75DEA31DB954940
100,,0101000020E61000007E71A94ADBDA51407A43D0871D964940
101,,0101000020E610000094DDCCE8C7DA51407FA6B9707B964940
102,,0101000020E610000005094092C8DA5140BD056DCDB1964940
103,,0101000020E610000057169689ECDF514020DA22C4F0934940
104,,0101000020E6100000D4997B48F8DF51409C2C5A25FD934940
105,,0101000020E61000005138166FBFDF5140C56FAF71A2934940
106,,0101000020E610000093026619BDDF5140FA68CC7FA3934940
107,,0101000020E610000036751E157FDF51402EE2E07778934940
108,,0101000020E610000077932930AEDF514058AEB7CD54934940
109,,0101000020E6100000838769DFDCDF514048ED8F4138934940
110,,0101000020E61000002BDCF29114E0514017A7107E98934940
111,,0101000020E610000061CF8D9FFCDF51408B3F40AD58934940
112,,0101000020E61000009034136720E05140BE7E2D54A3934940
113,,0101000020E6100000C3B81B446BDF51406AF816D68D934940
114,,0101000020E6100000E6A4411B4ADF514064E597C118944940
115,,0101000020E6100000327F3B3F7BDF51400CCA349A5C944940
116,,0101000020E61000003EDB59AA41E051405F8B27CCC5934940
117,,0101000020E6100000F3EFE9A001E051409BEF969AF3934940
118,,0101000020E6100000AFC5B82C70E0514092A68B5E57934940
119,,0101000020E6100000B7B0130349E0514099CCC2E803934940
120,,0101000020E6100000166A4DF30EE051409D2ADF3312934940
121,,0101000020E610000070F9FEBC5FE051406700B90E1F934940
122,,0101000020E61000008DDC894803DA5140C714072BA9974940
123,,0101000020E61000006598C9262FDA514003B34291EE984940
124,,0101000020E6100000AF99D76C40DE514096D9D60572944940
125,,0101000020E61000009344E515BEDD5140534DFF48C7984940
126,,0101000020E6100000EB15BB229DDA514013375D05E7974940
127,,0101000020E61000005344E10EAFDB514022E010AAD4964940
128,,0101000020E6100000623DFF8705DA5140E417B90265984940
129,,0101000020E610000019856E4015DA51406422A5D93C984940
130,,0101000020E6100000D44FEE2D1BDA514000B9B365AF984940
131,,0101000020E610000001028C1D43E051401A9826B6CC934940
132,,0101000020E6100000E5FD6E7058DA5140E7B0564854964940
133,,0101000020E6100000C9F50027A5D75140EDC49BEBEA9D4940
134,,0101000020E6100000A0D513A7A4D751402F2AF3A0EA9D4940
135,,0101000020E610000055DE8E705AD85140028C1D43B69B4940
136,,0101000020E6100000B51A12F758D851401785B8CDAF9B4940
137,,0101000020E6100000B8DB3F602FDA51404305E2D0B6974940
138,,0101000020E6100000892249B574D75140DFCC9EBAA8984940
139,,0101000020E6100000D4B3C5DA84D751408229B97999984940
140,,0101000020E6100000BDC1BC6C60D85140042D6EED8E984940
141,,0101000020E610000082A6CA9CD3D751407604CB6CEB984940
142,,0101000020E6100000E36025D5ADD7514011D4DF0154974940
143,,0101000020E6100000123356F638D751401BB4FC659C974940
144,,0101000020E6100000AF01B62858D751404E3052DE7D974940
145,,0101000020E6100000F5B3A217FFD6514097EC8E7BA9974940
146,,0101000020E6100000F9E582E9EAD65140555FA7A2C2974940
147,,0101000020E6100000E76D11BDB1D651407E0FA848CF974940
148,,0101000020E610000096D1C8E795D65140284DDE5BEC974940
149,,0101000020E61000004A69EC0129D65140CD38B29712984940
150,,0101000020E6100000264D28E906D65140D4BA682332984940
151,,0101000020E61000006E6935246ED55140034015376E984940
152,,0101000020E61000003AAFB14B54D551406CDCAC0B89984940
153,,0101000020E61000005C0938DFE3D75140E074DC3A49974940
154,,0101000020E61000009BFAE538DCDA5140353685DF97964940
155,,0101000020E61000005B5AB2CF88DA51406BCC90CFD0974940
156,,0101000020E610000046031D52B1DA514012F6ED2422974940
157,,0101000020E6100000712F7AB8AEDA514041F4A44C6A974940
158,,0101000020E6100000FB9C71D094DA51402357A0CCF5974940
159,,0101000020E610000010B056ED1ADA514038E7960CB6974940
160,,0101000020E610000012AE36B522DA5140B34C75B7A1974940
161,,0101000020E6100000E4ABD3371FDA514057B439CE6D984940
162,,0101000020E610000082E8A45247C151408ABAC5B24FA74940
163,,0101000020E610000083BB58BD68DA51403CA583F57F964940
164,,0101000020E61000000744882B67DA51403633445F8B964940
165,,0101000020E6100000B0253F3D91DD51409775FF5888934940
166,,0101000020E6100000C7180E3A57DC514099F9693755944940
